comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0.05294209,0.42982456,0.88157418
same_recording_split_halves,0.053097345,0.42982456,0.88157418
same_recording_split_halves,0.053252601,0.42982456,0.88157418
same_recording_split_halves,0.053407856,0.42982456,0.88157418
same_recording_split_halves,0.053563111,0.42982456,0.88157418
same_recording_split_halves,0.053718367,0.42982456,0.88157418
same_recording_split_halves,0.053873622,0.42982456,0.88157418
same_recording_split_halves,0.054028878,0.42982456,0.88157418
same_recording_split_halves,0.054184133,0.42982456,0.88157418
same_recording_split_halves,0.054339388,0.42982456,0.88157418
same_recording_split_halves,0.054494644,0.42982456,0.88157418
same_recording_split_halves,0.054649899,0.42982456,0.88157418
same_recording_split_halves,0.054805154,0.42982456,0.88157418
same_recording_split_halves,0.05496041,0.42982456,0.88157418
same_recording_split_halves,0.055115665,0.42982456,0.88157418
same_recording_split_halves,0.055270921,0.42982456,0.88157418
same_recording_split_halves,0.055270921,0.43859649,0.88157418
same_recording_split_halves,0.055426176,0.43859649,0.88157418
same_recording_split_halves,0.055581431,0.43859649,0.88157418
same_recording_split_halves,0.055736687,0.43859649,0.88157418
same_recording_split_halves,0.055736687,0.44736842,0.88157418
same_recording_split_halves,0.055891942,0.44736842,0.88157418
same_recording_split_halves,0.056047198,0.44736842,0.88157418
same_recording_split_halves,0.056202453,0.44736842,0.88157418
same_recording_split_halves,0.056357708,0.44736842,0.88157418
same_recording_split_halves,0.056512964,0.44736842,0.88157418
same_recording_split_halves,0.056668219,0.44736842,0.88157418
same_recording_split_halves,0.056823475,0.44736842,0.88157418
same_recording_split_halves,0.05697873,0.44736842,0.88157418
same_recording_split_halves,0.057133985,0.44736842,0.88157418
same_recording_split_halves,0.057289241,0.44736842,0.88157418
same_recording_split_halves,0.057444496,0.44736842,0.88157418
same_recording_split_halves,0.057599752,0.44736842,0.88157418
same_recording_split_halves,0.057755007,0.44736842,0.88157418
same_recording_split_halves,0.057910262,0.44736842,0.88157418
same_recording_split_halves,0.057910262,0.45614035,0.88157418
same_recording_split_halves,0.058065518,0.45614035,0.88157418
same_recording_split_halves,0.058220773,0.45614035,0.88157418
same_recording_split_halves,0.058220773,0.46491228,0.88157418
same_recording_split_halves,0.058376029,0.46491228,0.88157418
same_recording_split_halves,0.058531284,0.46491228,0.88157418
same_recording_split_halves,0.058686539,0.46491228,0.88157418
same_recording_split_halves,0.058841795,0.46491228,0.88157418
same_recording_split_halves,0.05899705,0.46491228,0.88157418
same_recording_split_halves,0.059152306,0.46491228,0.88157418
same_recording_split_halves,0.059307561,0.46491228,0.88157418
same_recording_split_halves,0.059462816,0.46491228,0.88157418
same_recording_split_halves,0.059618072,0.46491228,0.88157418
same_recording_split_halves,0.059773327,0.46491228,0.88157418
same_recording_split_halves,0.059928583,0.46491228,0.88157418
same_recording_split_halves,0.060083838,0.46491228,0.88157418
same_recording_split_halves,0.060239093,0.46491228,0.88157418
same_recording_split_halves,0.060394349,0.46491228,0.88157418
same_recording_split_halves,0.060549604,0.46491228,0.88157418
